ct10_id,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25021403400,1966,565500,218250,390000,8,3,4,10890,2482,804,143500,31.2,2550.5,12,39,40,31,4,0,0,53,0,54,103,4,0,0,130,142,130,890,17,37,49,906,41,1010,40,890,26,1,110,6,42.7,1050,2010,6488,3069,3419,1651,3592,1245,5690,90,4,418,1,5,120,160,1682,2411,1682,687,342,445,157,43,8,729,668,53,2,2,1,0,3,2007-11,113023,27182,161083,30430,19063,5296
25017363103,1972,540000,103000,322700,8,3,4,25462,2398,1025.5,31000,9.525,2550.5,13,15,16,9,0,0,0,13,0,18,43,0,0,0,55,56,55,375,17,7,12,523,24,568,15,375,1,0,174,10,41.7,583,2010,3229,1600,1629,991,1946,292,2517,44,0,518,0,21,49,80,910,1154,910,308,229,239,110,21,3,244,219,22,2,1,0,0,0,2007-11,121719,26685,130625,20215,67670,27874
25021413200,1963,295000,0,213150,5,2,2,5000,1246,1060,35050,15.905,1250.5,12,32,8,40,15,5,0,149,0,17,98,25,4,1,76,80,76,469,24,11,27,1023,26,1069,42,469,62,15,518,6,41,1111,2010,6079,2788,3291,1084,3674,1321,5291,254,10,181,3,41,55,244,1490,2692,1490,680,374,291,98,36,11,1202,1016,174,8,1,3,0,0,2007-11,69722,10570,95781,7906,42159,10424
25023507101,1977,415000,155900,295000,7,3,4,42209,2114,1067.5,60000,13.495,2150.5,12,10,6,28,10,0,0,12,0,40,54,8,1,0,57,61,57,656,11,1,15,678,30,720,15,656,2,0,29,14,39.7,735,2010,5323,2514,2809,1438,2964,921,5115,33,5,51,0,10,40,69,1458,1866,1458,546,322,348,175,53,14,408,369,34,5,0,0,0,0,2007-11,115489,8135,117391,8969,34028,22202
25017333600,1967,315000,17500,240000,6,2,3,10007,1491,1008.5,37000,14.4,1550.5,13,70,35,46,16,5,0,56,0,31,107,30,4,1,64,66,64,469,34,10,19,831,33,849,78,469,82,18,205,23,45,927,2010,6791,3320,3471,1400,4616,775,4954,319,12,1028,0,66,132,280,1820,2767,1820,718,539,364,139,46,14,947,731,187,24,2,3,0,0,2007-11,72766,13494,95385,19589,55205,12479
25027744400,1951,243000,81800,194400,6,2,3,9710,1695,1128,25000,12.9,1750.5,11,16,13,20,9,6,0,18,0,26,54,18,6,0,41,42,41,338,21,6,17,500,17,537,24,338,73,21,89,9,40.6,561,2010,3974,1971,2003,920,2518,536,3169,76,2,70,1,147,106,403,1062,1552,1062,420,280,221,97,28,16,490,384,79,14,11,2,0,0,2007-11,49375,19014,68938,13185,42701,16465
25021404302,1952,601250,250750,4e+05,8,3,4,10307,2058,893,132300,27.58,2150.5,13,21,29,30,0,0,0,48,0,25,56,3,0,0,99,108,99,622,18,18,18,687,29,749,21,622,14,1,111,5,36.6,770,2010,3529,1649,1880,958,1873,698,2960,41,0,362,0,1,69,96,946,1340,946,389,186,254,92,20,5,394,345,42,5,2,0,0,0,2007-11,101571,16365,104792,16490,90893,23077
25017370201,1920,465000,0,307200,7,2,3,4822,1960,997.5,35237.5,9.14,2000.5,9,3,2,19,1,2,0,4,0,3,38,4,1,0,47,52,47,190,4,5,10,512,22,550,3,190,128,19,207,0,47.7,553,2010,3757,1747,2010,510,2650,597,3229,74,1,214,0,13,98,128,908,1744,908,471,215,152,58,9,3,836,558,228,38,10,2,0,0,2007-11,89274,17984,98223,15236,74875,36553
25027744101,1971,261500,90000,191900,6,2,3,11922,1800,938.5,30000,16,1850.5,12,19,28,46,25,13,0,107,0,134,61,46,11,0,151,154,151,852,57,6,32,1399,41,1494,41,852,6,5,587,37,33.6,1535,2010,7445,3681,3764,1757,4765,923,6492,129,4,287,1,54,169,309,2093,2843,2093,837,522,484,176,51,23,750,604,135,10,1,0,0,0,2007-11,88347,17601,104612,8902,62932,41273
25023500104,1930,285000,92000,184250,7,2,3,5000,1638,820,49900,20.12,1650.5,11,23,15,42,19,5,0,37,0,22,102,20,3,0,105,112,105,740,34,20,15,824,57,912,38,740,51,11,86,6,35.3,950,2010,4382,2068,2314,819,2986,577,4100,20,21,58,4,21,62,96,1136,1877,1136,501,301,193,87,39,15,741,586,132,19,3,0,1,0,2007-11,59695,8120,65906,11458,42885,25362
